cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_937	155	4	1	3	0.025806451612903226	0.003920968219582141	6.581652838709677	15	18.419354838709676	11	343	1	11.690049590033917
cluster_659	157	4	4	0	0.025477707006369428	0.003920968219582141	6.497810127388535	15	18.18471337579618	11	345	1	11.625877166604639
cluster_699	327	5	5	0	0.01529051987767584	0.003920968219582141	3.8996796253822628	16	16.938837920489295	11	344	1	11.463437095136268
cluster_43	560	6	5	1	0.010714285714285714	0.003920968219582141	2.7325612232142853	13.0	14.130357142857143	11	538	1	11.40099554587477
cluster_31	564	6	5	1	0.010638297872340425	0.003920968219582141	2.7131813563829783	13.0	18.397163120567377	11	542	1	11.355934679571961
cluster_2812	335	5	4	1	0.014925373134328358	0.003920968219582141	3.8065529477611935	20	21.202985074626866	11	186	1	11.325013131129273
cluster_249	1225	8	8	0	0.006530612244897959	0.003920968219582141	1.665561126530612	14	14.591020408163265	11	535	1	11.315514130290945
cluster_908	62	3	3	0	0.04838709677419355	0.003920968219582141	12.340599072580643	16.0	21.612903225806452	12	343	1	11.213254645466902
cluster_478	580	6	6	0	0.010344827586206896	0.003920968219582141	2.6383349741379307	14.0	14.596551724137932	11	364	1	11.179670250702141
cluster_7522	11	2	2	0	0.18181818181818182	0.003920968219582141	46.370735909090904	20	33.36363636363637	19	168	1	11.131848358783241
cluster_1600	1708	9	6	3	0.005269320843091335	0.003920968219582141	1.3438825687939109	19.0	19.27751756440281	11	341	1	11.060102618044764
cluster_555	594	6	6	0	0.010101010101010102	0.003920968219582141	2.576151994949495	13.0	123.50841750841751	12	350	1	11.030448334731076
cluster_2656	181	4	4	0	0.022099447513812154	0.003920968219582141	5.636222044198894	20	22.12707182320442	15	187	1	10.921448635413388
cluster_284	613	6	5	1	0.009787928221859706	0.003920968219582141	2.496303890701468	14	17.411092985318106	11	534	1	10.834983516160579
cluster_52	378	5	5	0	0.013227513227513227	0.003920968219582141	3.3735323743386236	11.0	13.261904761904763	11	537	1	10.643994865889475
cluster_1929	380	5	5	0	0.013157894736842105	0.003920968219582141	3.355776940789473	19.0	19.660526315789475	11	283	1	10.614650377876764
cluster_237	383	5	5	0	0.013054830287206266	0.003920968219582141	3.3294914817232373	17	17.70757180156658	11	535	1	10.570987919357144
cluster_960	73	3	2	1	0.0410958904109589	0.003920968219582141	10.48105674657534	16	19.17808219178082	11	343	1	10.56355059734379
