cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_0	2324	31	29	2	0.01333907056798623	0.003920968219582141	3.401983852194492	13.0	13.885111876075731	11	822	1	66.28276944294699
cluster_1728	4218	36	31	5	0.008534850640113799	0.003920968219582141	2.1767201778093885	15.0	17.360834518729256	11	339	1	60.03136855781517
cluster_1926	2321	29	28	1	0.012494614390348987	0.003920968219582141	3.1866145529943983	16	17.463162429987076	11	285	1	59.90773890839786
cluster_37	1571	25	24	1	0.015913430935709738	0.003920968219582141	4.058546268300445	12	13.516868236791852	11	539	1	58.46807102197151
cluster_11	5077	37	36	1	0.0072877683671459526	0.003920968219582141	1.8586655027575338	13	14.131376797321252	11	664	1	56.06764725414556
cluster_86	1659	24	22	2	0.014466546112115732	0.003920968219582141	3.6895341410488243	15	15.192284508740205	11	537	1	53.50667069615321
cluster_1986	2505	27	25	2	0.010778443113772455	0.003920968219582141	2.748923865269461	19	18.92814371257485	11	272	1	51.47486623069516
cluster_1840	1820	24	23	1	0.013186813186813187	0.003920968219582141	3.3631522747252744	19.0	19.00989010989011	11	320	1	51.00889979724083
cluster_20	2048	25	24	1	0.01220703125	0.003920968219582141	3.113269622802734	14.0	13.85693359375	11	547	1	51.00714107222348
cluster_1788	2069	25	21	4	0.01208313194780087	0.003920968219582141	3.0816704627839533	19	19.633156114064764	11	332	1	50.728992745824755
cluster_29921	6	6	6	0	1.0	0.003920968219582141	255.03904749999998	20.0	20	20	20	1	48.00132021887768
cluster_32	2247	24	21	3	0.010680907877169559	0.003920968219582141	2.724048571428571	13	13.54739652870494	11	542	1	45.52492534974966
cluster_1836	2849	26	23	3	0.009126009126009126	0.003920968219582141	2.3274886749736745	16	17.314145314145314	11	320	1	45.09527765517411
cluster_1860	1804	21	20	1	0.01164079822616408	0.003920968219582141	2.968858091740576	16.0	17.450665188470065	11	312	1	41.763203560403774
